route_long_name,route_short_name,agency_id,route_type,route_id
,0,96,0,476
,001,243,3,18803
,001,57,3,5346
,002,57,3,9152
,003,57,3,22211
,004,57,3,6620
,005,57,3,13403
,006,243,3,17712
,006,57,3,2
,007,243,3,13138
,007,57,3,4106
,008,243,3,5087
,008,300,3,21829
,008,57,3,6572
,009,57,3,8343
,010,300,3,18362
,010,57,3,20614
,011,243,3,20633
,012,243,3,18284
,012,300,3,10640
,013,300,3,20172
,013,57,3,6105
,014,300,3,11205
,014,57,3,16617
,015,300,3,12703
,015,57,3,13793
,016,300,3,8714
,016,57,3,17501
,017,300,3,18171
,017,57,3,5580
,018,300,3,9462
,018,57,3,5565
,019,300,3,20530
,019,57,3,13419
,020,243,3,4181
,020,300,3,15419
,020,57,3,14953
,021,300,3,14338
,021,57,3,7401
,022,300,3,9319
,022,57,3,21242
,023,243,3,520
,023,300,3,10648
,023,57,3,2393
,024,243,3,19726
,024,300,3,3285
,024,57,3,16565
,025,243,3,12128
,025,300,3,1288
,025,57,3,9811
,026,300,3,20014
,026,57,3,22113
,027,243,3,702
,027,300,3,1866
,027,57,3,7365
,029,57,3,14730
,031,57,3,5636
,032,243,3,943
,032,57,3,3215
,033,57,3,18900
,034,243,3,18954
,034,57,3,17290
,035,57,3,235
,036,243,3,7240
,036,57,3,12359
,037,243,3,19329
,038,212,3,4209
,039,243,3,9730
,040,243,3,21980
,044,243,3,13235
,049,243,3,21465
,050,243,3,21742
,052,243,3,20081
,056,243,3,8770
,057,243,3,12198
,060,243,3,20608
,063,66,3,13939
,065,243,3,17999
,068,243,3,21922
,070,243,3,14125
,071,213,3,7145
,073,243,3,12171
,075,243,3,5874
,076,213,3,16590
,076,243,3,6542
,077,213,3,4015
,078,213,3,9346
,079,213,3,4225
,080,1,3,14809
,081,1,3,7103
,081,243,3,9408
,082,1,3,13676
,082,243,3,6261
,083,1,3,21529
,083,243,3,13736
,084,1,3,9268
,084,243,3,22616
,085,1,3,7136
,0855,118,3,3129
,086,1,3,8993
,087,1,3,19698
,089,1,3,18476
,090,213,3,14108
,090,243,3,6949
,091,213,3,17138
,091,243,3,6907
,092,213,3,819
,093,213,3,12237
,094,213,3,22305
,095,213,3,14476
,095,243,3,4995
,096,213,3,8859
,097,57,3,18794
,098,57,3,10401
,099,243,3,13659
,1,107,3,19431
,1,109,0,20503
,1,109,3,12211
,1,11,3,18149
,1,117,3,2679
,1,118,3,5458
,1,12,3,11070
,1,122,3,9006
,1,124,0,8887
,1,127,0,15534
,1,13,0,10223
,1,130,3,14902
,1,139,3,18016
,1,14,3,1118
,1,140,3,17817
,1,145,3,20122
,1,146,0,4878
,1,146,3,3306
,1,149,0,17470
,1,15,3,7079
,1,151,0,3551
,1,16,3,14086
,1,162,3,10243
,1,164,3,5186
,1,167,3,14604
,1,17,0,1724
,1,171,3,7338
,1,175,3,14940
,1,176,3,1980
,1,178,3,12782
,1,180,0,7789
,1,182,0,288
,1,183,3,11747
,1,186,0,21094
,1,189,3,9479
,1,19,3,7033
,1,193,3,18691
,1,194,3,22505
,1,195,3,16232
,1,197,3,12016
,1,199,3,5644
,1,201,0,13737
,1,203,0,8871
,1,212,3,5417
,1,216,0,19
,1,217,3,17356
,1,22,3,15611
,1,225,3,18709
,1,227,0,4898
,1,229,3,7146
,1,231,3,22127
,1,233,3,22275
,1,236,3,10866
,1,240,3,9417
,1,244,3,9812
